"Song","Performer"
"Club Can't Handle Me","Flo Rida Featuring David Guetta"
"Steal My Sunshine","Len"
"Bounce Back","Big Sean"
"Back For Good","Take That"
"Thank You","Dido"
"Ain't It Fun","Paramore"
"Back Here","BBMak"
"Differences","Ginuwine"
"Suga Suga","Baby Bash Featuring Frankie J"
"Sugar, We're Goin' Down","Fall Out Boy"
"Angel Of Mine","Monica"
"Don't Walk Away","Jade"
"Don't Wanna Know","Maroon 5 Featuring Kendrick Lamar"
"Fantasy","Mariah Carey"
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")","Whitney Houston"
"I'll Be Missing You","Puff Daddy & Faith Evans Featuring 112"
"Honey","Mariah Carey"
"My Heart Will Go On","Celine Dion"
"I Don't Want To Miss A Thing","Aerosmith"
"Doo Wop (That Thing)","Lauryn Hill"
"I'm Your Angel","R. Kelly & Celine Dion"
"I Believe","Fantasia"
"Not Afraid","Eminem"
"Harlem Shake","Baauer"
"Hello","Adele"
"I'm The One","DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
"God's Plan","Drake"
"Nice For What","Drake"
"Hypnotize","The Notorious B.I.G."
"My All","Mariah Carey"
"I Gotta Feeling","The Black Eyed Peas"
"Love The Way You Lie","Eminem Featuring Rihanna"
"Humble.","Kendrick Lamar"
"If I Can't Have You","Shawn Mendes"
"I Don't Care","Ed Sheeran & Justin Bieber"
"Gettin' Jiggy Wit It","Will Smith"
"Love Lockdown","Kanye West"
"Mine","Taylor Swift"
"I Knew You Were Trouble.","Taylor Swift"
"No Tears Left To Cry","Ariana Grande"
"Goodbyes","Post Malone Featuring Young Thug"
"Mo Money Mo Problems","The Notorious B.I.G. Featuring Puff Daddy & Mase"
"Heartless","Kanye West"
"Love Yourself","Justin Bieber"
"FEFE","6ix9ine Featuring Nicki Minaj & Murda Beatz"
"Girlfriend","Avril Lavigne"
"I Need A Doctor","Dr. Dre Featuring Eminem & Skylar Grey"
"How Deep Is Your Love","Dru Hill Featuring Redman"
"I Don't Wanna Live Forever (Fifty Shades Darker)","Zayn / Taylor Swift"
"Look Alive","BlocBoy JB Featuring Drake"
"In My Feelings","Drake"
"I Love It","Kanye West & Lil Pump"
"Going Bad","Meek Mill Featuring Drake"
"I Believe In You And Me (From ""The Preacher's Wife"")","Whitney Houston"
"I'll Be","Edwin McCain"
"Money In The Grave","Drake Featuring Rick Ross"
"Frozen","Madonna"
"Forever","Drake Featuring Kanye West, Lil Wayne & Eminem"
"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera"
"Holy Grail","Jay Z Featuring Justin Timberlake"
"I Like It","Cardi B, Bad Bunny & J Balvin"
"For You I Will (From ""Space Jam"")","Monica"
"Nice & Slow","Usher"
"On The Floor","Jennifer Lopez Featuring Pitbull"
"Good For You","Selena Gomez Featuring A$AP Rocky"
"No Guidance","Chris Brown Featuring Drake"
"Get Back","The Beatles With Billy Preston"
"Gotta Be Somebody","Nickelback"
"Counting Blue Cars","Dishwalla"
"Ride","Ciara Featuring Ludacris"
"Best I Ever Had","Gary Allan"
"Cheap Thrills","Sia Featuring Sean Paul"
"Animal","Neon Trees"
"Second Chance","Shinedown"
"4 Minutes","Avant"
"Paralyzer","Finger Eleven"
"Don't Mess With My Man","Nivea Featuring Brian & Brandon Casey"
"1-800-273-8255","Logic Featuring Alessia Cara & Khalid"
"Animals","Martin Garrix"
"Baby Got Back","Sir Mix-A-Lot"
"Can't Help Falling In Love (From ""Sliver"")","UB40"
"Smooth","Santana Featuring Rob Thomas"
"Blurred Lines","Robin Thicke Featuring T.I. + Pharrell"
"Rude","MAGIC!"
"Sexy And I Know It","LMFAO"
"Cheerleader","OMI"
"Stay (I Missed You) (From ""Reality Bites"")","Lisa Loeb & Nine Stories"
"Always On Time","Ja Rule Featuring Ashanti"
"Check On It","Beyonce Featuring Slim Thug"
"All About That Bass","Meghan Trainor"
"Black Beatles","Rae Sremmurd Featuring Gucci Mane"
"Creep","TLC"
"Boom Boom Pow","The Black Eyed Peas"
"Bad And Boujee","Migos Featuring Lil Uzi Vert"
"Bodak Yellow (Money Moves)","Cardi B"
"1, 2 Step","Ciara Featuring Missy Elliott"
"Take Me To Church","Hozier"
"Ain't It Funny","Jennifer Lopez Featuring Ja Rule"
"Crazy In Love","Beyonce Featuring Jay Z"
"Temperature","Sean Paul"
"Bleeding Love","Leona Lewis"
"Panda","Desiigner"
"Doesn't Really Matter","Janet"
"Right Here, Right Now","Jesus Jones"
"Baby-Baby-Baby","TLC"
"Blame It","Jamie Foxx Featuring T-Pain"
"All That She Wants","Ace Of Base"
"Complicated","Avril Lavigne"
"Sukiyaki","A Taste Of Honey"
"Another Night","Real McCoy"
"Stand Up","Ludacris Featuring Shawnna"
"Buy U A Drank (Shawty Snappin')","T-Pain Featuring Yung Joc"
"Candy Rain","Soul For Real"
"7 Years","Lukas Graham"
"Rump Shaker","Wreckx-N-Effect"
"Day 'N' Nite","Kid Cudi"
"Talk Dirty","Jason Derulo Featuring 2 Chainz"
"Be Without You","Mary J. Blige"
"Single Ladies (Put A Ring On It)","Beyonce"
"Slow Jamz","Twista Featuring Kanye West & Jamie Foxx"
"SexyBack","Justin Timberlake"
"21 Questions","50 Cent Featuring Nate Dogg"
"Sunshine","Lil' Flip Featuring Lea"
"Smack That","Akon Featuring Eminem"
"Super Bass","Nicki Minaj"
"Stereo Hearts","Gym Class Heroes Featuring Adam Levine"
"Am I Wrong","Nico & Vinz"
"So Much In Love","All-4-One"
"Promiscuous","Nelly Furtado Featuring Timbaland"
"Black Widow","Iggy Azalea Featuring Rita Ora"
"Attention","Charlie Puth"
"A Thousand Miles","Vanessa Carlton"
"Be My Lover","La Bouche"
"Tell Me What You Want Me To Do","Tevin Campbell"
"Rhythm Is A Dancer","Snap!"
"One Last Breath","Creed"
"Dip It Low","Christina Milian"
"Domino","Jessie J"
"Broccoli","D.R.A.M. Featuring Lil Yachty"
"Bad At Love","Halsey"
"Picture","Kid Rock Featuring Sheryl Crow"
"Save The Best For Last","Vanessa Williams"
"All I Wanna Do","Sheryl Crow"
"Don't Take It Personal (Just One Of Dem Days)","Monica"
"Sexy Can I","Ray J & Yung Berg"
"Damn!","YoungBloodZ Featuring Lil Jon"
"Can You Feel The Love Tonight (From ""The Lion King"")","Elton John"
"Boo'd Up","Ella Mai"
"Clumsy","Fergie"
"Sending All My Love","Linear"
"Cooler Than Me","Mike Posner"
"Blurry","Puddle Of Mudd"
"Behind These Hazel Eyes","Kelly Clarkson"
"Bump N' Grind","R. Kelly"
"Safe And Sound","Capital Cities"
"Stutter","Joe Featuring Mystikal"
"Roar","Katy Perry"
"Don't Matter","Akon"
"Don't Phunk With My Heart","The Black Eyed Peas"
"Shoop","Salt-N-Pepa"
"Stickwitu","The Pussycat Dolls"
"Roses","The Chainsmokers Featuring Rozes"
"Snap Yo Fingers","Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ"
"Cyclone","Baby Bash Featuring T-Pain"
"Caught Up","Usher"
"Step In The Name Of Love","R. Kelly"
"Say It Right","Nelly Furtado"
"Over And Over","Nelly Featuring Tim McGraw"
"Say It","Voices Of Theory"
"Run-Around","Blues Traveler"
"Be With You","Enrique Iglesias"
"Tears In Heaven","Eric Clapton"
"Soul Survivor","Young Jeezy Featuring Akon"
"Pop, Lock & Drop It","Huey"
"Another Sad Love Song","Toni Braxton"
"Please Forgive Me","Bryan Adams"
"Put It On Me","Ja Rule Featuring Lil' Mo & Vita"
"Cantaloop (Flip Fantasia)","US3"
"Only Time","Enya"
"Someone You Loved","Lewis Capaldi"
"Only Girl (In The World)","Rihanna"
"Pon de Replay","Rihanna"
"Can't Let You Go","Fabolous Featuring Mike Shorey & Lil' Mo"
"Achy Breaky Heart","Billy Ray Cyrus"
"A Milli","Lil Wayne"
"Say Aah","Trey Songz Featuring Fabolous"
"Roll To Me","Del Amitri"
"Scar Tissue","Red Hot Chili Peppers"
"Bump, Bump, Bump","B2K & P. Diddy"
"Suit & Tie","Justin Timberlake Featuring JAY Z"
"Show Me The Meaning Of Being Lonely","Backstreet Boys"
"Over My Head (Cable Car)","The Fray"
"Bulletproof","La Roux"
"Clarity","Zedd Featuring Foxes"
"Post To Be","Omarion Featuring Chris Brown & Jhene Aiko"
"Talking Body","Tove Lo"
"Breakfast At Tiffany's","Deep Blue Something"
"Starving","Hailee Steinfeld & Grey Featuring Zedd"
"Because I Love You (The Postman Song)","Stevie B"
"Party Like A Rockstar","Shop Boyz"
"Ain't 2 Proud 2 Beg","TLC"
"All The Small Things","Blink-182"
"Rack City","Tyga"
"Caroline","Amine"
"Scars To Your Beautiful","Alessia Cara"
"Slow Hands","Niall Horan"
"Cupid's Chokehold/Breakfast In America","Gym Class Heroes Featuring Patrick Stump"
"Bartender","T-Pain Featuring Akon"
"Paparazzi","Lady Gaga"
"Can We Talk","Tevin Campbell"
"(Hot S**t) Country Grammar","Nelly"
"Breakeven","The Script"
"Ditty","Paperboy"
"Dance, Dance","Fall Out Boy"
"Before He Cheats","Carrie Underwood"
"Da' Dip","Freak Nasty"
"Amazed","Lonestar"
"Sweet But Psycho","Ava Max"
"Anything","Jaheim Featuring Next"
"Come & Talk To Me","Jodeci"
"100% Pure Love","Crystal Waters"
"Bailando","Enrique Iglesias Featuring Descemer Bueno & Gente de Zona"
"Don't Let The Sun Go Down On Me","David Archuleta"
"Damaged","TLC"
"Don't Let Me Get Me","P!nk"
"Overnight Celebrity","Twista"
"Style","Taylor Swift"
"2 Legit 2 Quit","M.C. Hammer"
"Rock Your Body","Justin Timberlake"
"Some Nights","fun."
"Bailamos","Enrique Iglesias"
"Started From The Bottom","Drake"
"Don't Mind","Kent Jones"
"Rockin' Around The Christmas Tree","Brenda Lee"
"Sensitivity","Ralph Tresvant"
"Can't Get You Out Of My Head","Kylie Minogue"
"Rude Boy","Rihanna"
"Stronger (What Doesn't Kill You)","Kelly Clarkson"
"Streets Of Philadelphia (From ""Philadelphia"")","Bruce Springsteen"
"Bad Blood","Neil Sedaka"
"She's Playing Hard To Get","Hi-Five"
"Ordinary World","Duran Duran"
"Blue (Da Ba Dee)","Eiffel 65"
"Oops!...I Did It Again","Britney Spears"
"1, 2, 3, 4 (Sumpin' New)","Coolio"
"At Your Best (You Are Love)","Aaliyah"
"Air Force Ones","Nelly Featuring Kyjuan, Ali & Murphy Lee"
"Something To Believe In","Poison"
"Scream","Usher"
"Addictive","Truth Hurts Featuring Rakim"
"Pompeii","Bastille"
"Right Round","Flo Rida"
"Do Me!","Bell Biv DeVoe"
"Run This Town","Jay-Z, Rihanna & Kanye West"
"Best Day Of My Life","American Authors"
"Birthday Sex","Jeremih"
"Cruise","Florida Georgia Line Featuring Nelly"
"Alejandro","Lady Gaga"
"Summertime Sadness","Lana Del Rey & Cedric Gervais"
"Barely Breathing","Duncan Sheik"
"Rake It Up","Yo Gotti Featuring Nicki Minaj"
"All Falls Down","Kanye West Featuring Syleena Johnson"
"Sensual Seduction","Snoop Dogg"
"Come Undone","Duran Duran"
"Stir Fry","Migos"
"Say You Won't Let Go","James Arthur"
"Shortie Like Mine","Bow Wow Featuring Chris Brown & Johnta Austin"
"Bills, Bills, Bills","Destiny's Child"
"Damn I Wish I Was Your Lover","Sophie B. Hawkins"
"808","Blaque"
"Summer Love","Justin Timberlake"
"Bed Of Roses","Bon Jovi"
"A Bay Bay","Hurricane Chris"
"Home","Phillip Phillips"
"Fake Love","BTS"
"Ironic","Alanis Morissette"
"Obsessed","Mariah Carey"
"Look At Me Now","Chris Brown Featuring Lil Wayne & Busta Rhymes"
"No","Meghan Trainor"
"Just A Dream","Jimmy Clanton And His Rockets"
"Follow You Down/Til I Hear It From You","Gin Blossoms"
"Lullaby","Shawn Mullins"
"Heart Attack","Demi Lovato"
"Drunk In Love","Beyonce Featuring Jay Z"
"Let Me Love You","DJ Snake Featuring Justin Bieber"
"I'll Be There","Mariah Carey"
"My Way","Usher"
"Never Ever","All Saints"
"How Low","Ludacris"
"Headlines","Drake"
"On Bended Knee","Boyz II Men"
"Good Life","Kanye West Featuring T-Pain"
"Leavin'","Jesse McCartney"
"OMG","Usher Featuring will.i.am"
"Maps","Maroon 5"
"Heathens","twenty one pilots"
"MotorSport","Migos, Nicki Minaj & Cardi B"
"In The Still Of The Nite (From ""The Jacksons"")","Boyz II Men"
"Have You Ever?","Brandy"
"Maria Maria","Santana Featuring The Product G&B"
"I'm Still In Love With You","New Edition"
"MMMBop","Hanson"
"Jumper","Third Eye Blind"
"Love Story","Taylor Swift"
"Lighters","Bad Meets Evil Featuring Bruno Mars"
"I Can't Sleep Baby (If I)","R. Kelly"
"Just Lose It","Eminem"
