"SOURCE","TARGET"
"Juju On That Beat (TZ Anthem)","Christopher Henderson"
"Juju On That Beat (TZ Anthem)","Venetia Lewis"
"Juju On That Beat (TZ Anthem)","Alphonce Smith"
"Juju On That Beat (TZ Anthem)","Jarques Usher"
"If You Go","Jon Secada"
"If You Go","Emilio Estefan"
"If You Go","Lawrence Dermer"
"If You Go","Jon Secada"
"If You Go","Jon Secada"
"If You Go","Miguel Morejon"
"Freak Like Me","Adina Howard"
"Freak Like Me","Mass Order"
"Freak Like Me","Eugene Hanes"
"Freak Like Me","Marc Valentine"
"Freak Like Me","Loren Hill"
"Freak Like Me","William ""Bootsy"" Collins"
"Freak Like Me","George Clinton, Jr."
"Livin' La Vida Loca","Ricky Martin"
"Livin' La Vida Loca","Desmond Child"
"Livin' La Vida Loca","Draco Rosa"
"Livin' La Vida Loca","Desmond Child"
"Money","Cardi B"
"Money","J. White Did It"
"Money","Belcalis Almanzar"
"Money","Anthony White"
"My Love","Lionel Richie"
"My Love","Lionel RichieJames Anthony Carmichael"
"My Love","Lionel Richie"
"Looking Through Patient Eyes","P.M. Dawn"
"Looking Through Patient Eyes","P.M. Dawn"
"Looking Through Patient Eyes","Attrell Cordes"
"Looking Through Patient Eyes","George Michael"
"Ms. Jackson","OutKast"
"Ms. Jackson","Earthtone III"
"Ms. Jackson","André Benjamin"
"Ms. Jackson","Antwan Patton"
"Ms. Jackson","David Sheats"
"Miss You","Aaliyah"
"Miss You","Teddy Bishop"
"Miss You","Johntá Austin"
"Miss You","Teddy Bishop"
"Miss You","Elgin Baylor Lumpkin"
"Incomplete","Backstreet Boys"
"Incomplete","Dan Muckala"
"Incomplete","Dan Muckala"
"Incomplete","Lindy Robbins"
"Incomplete","Jess Cates"
"Jingle Bell Rock","Bobby Helms"
"Jingle Bell Rock","Paul Cohen"
"Jingle Bell Rock","Joe Beal"
"Jingle Bell Rock","Jim Boothe"
"If","Janet Jackson"
"If","Janet Jackson"
"If","Jimmy Jam and Terry Lewis"
"If","Janet Jackson"
"If","Jimmy Jam & Terry Lewis"
"If","Harvey Fuqua"
"If","John Bristol"
"If","Jackey Beavers"
"Now And Forever","Richard Marx"
"Now And Forever","Richard Marx"
"Now And Forever","Richard Marx"
"It Wasn't Me","Shaggy"
"It Wasn't Me","Ricardo ""RikRok"" Ducent"
"It Wasn't Me","Shaun ""Sting"" Pizzonia"
"It Wasn't Me","Orville Burrell"
"It Wasn't Me","Rickardo Ducent"
"It Wasn't Me","Shaun Pizzonia"
"It Wasn't Me","Brian Thompson"
"Hey Ya!","OutKast"
"Hey Ya!","André 3000"
"Hey Ya!","André 3000"
"Love Song","The Cure"
"Love Song","Robert Smith"
"Love Song","Dave Allen"
"Love Song","Robert Smith"
"Love Song","Simon Gallup"
"Love Song","Porl Thompson"
"Love Song","Roger O'Donnell"
"Love Song","Boris Williams"
"Love Song","Lol Tolhurst"
"If Wishes Came True","Sweet Sensation"
"If Wishes Came True","Steve Peck"
"If Wishes Came True","Deena Charles"
"If Wishes Came True","Robert Steele"
"If Wishes Came True","Russ DeSalvo"
"If You Love Me","Mint Condition"
"If You Love Me","Mint Condition"
"If You Love Me","Keri Lewis"
"I Just Wanna Love U (Give It 2 Me)","JAY-Z"
"I Just Wanna Love U (Give It 2 Me)","The Neptunes"
"I Just Wanna Love U (Give It 2 Me)","Shawn Carter"
"I Just Wanna Love U (Give It 2 Me)","Pharrell Williams"
"I Just Wanna Love U (Give It 2 Me)","Chad Hugo"
"I Just Wanna Love U (Give It 2 Me)","Rick James"
"Not Gon' Cry (From ""Waiting To Exhale"")","Mary J. Blige"
"Not Gon' Cry (From ""Waiting To Exhale"")","Babyface"
"Not Gon' Cry (From ""Waiting To Exhale"")","Babyface"
"Kissin' You","Total"
"Izzo (H.O.V.A.)","JAY-Z"
"Izzo (H.O.V.A.)","Kanye West"
"Izzo (H.O.V.A.)","Shawn Carter"
"Izzo (H.O.V.A.)","Kanye West"
"Life Is A Highway","Rascal Flatts"
"Life Is A Highway","Tom Cochrane"
"Life Is A Highway","Joe Hardy"
"Life Is A Highway","Tom Cochrane"
"Happier","Ed Sheeran"
"Happier","Benny Blanco"
"Happier","Ryan Tedder"
"Happier","Ed Sheeran"
"Happier","Benny Blanco"
"God's Country","Blake Shelton"
"God's Country","Scott Hendricks"
"God's Country","Devin Dawson"
"God's Country","Jordan Schmidt"
"God's Country","Michael Hardy"
"I Adore Mi Amor","Color Me Badd"
"I Adore Mi Amor","Hamza Lee, Royal Bayyan"
"I Adore Mi Amor","Hamza Lee, Color Me Badd"
"Give Me One Reason","Tracy Chapman"
"Give Me One Reason","Don Gehman"
"Give Me One Reason","Tracy Chapman"
"Give Me One Reason","Tracy Chapman"
"Heartbreaker","Mariah Carey"
"Heartbreaker","Jay-Z"
"Heartbreaker","Mariah Carey"
"Heartbreaker","DJ Clue"
"Heartbreaker","Ken “Duro” Ifill"
"Heartbreaker","Mariah Carey"
"Heartbreaker","Shawn Carter"
"Heartbreaker","Shirley Elliston"
"Heartbreaker","Lincoln Chase"
"Heartbreaker","Narada Michael Walden"
"Heartbreaker","Jeffrey Cohen"
"Drive By","Train"
"Drive By","Espionage"
"Drive By","Butch Walker"
"Drive By","Pat Monahan"
"Drive By","Espen Lind"
"Drive By","Amund Bjørklund"
"Hold On","En Vogue"
"Hold On","Denzil Foster"
"Hold On","Thomas McElroy"
"Hold On","Thomas McElroy"
"Hold On","Denzil Foster"
"Hold On","Terry Ellis"
"Hold On","Cindy Herron"
"Hold On","Maxine Jones"
"Hold On","Dawn Robinson"
"I'd Die Without You (From ""Boomerang"")","P.M. Dawn"
"I'd Die Without You (From ""Boomerang"")","P.M. Dawn"
"I'd Die Without You (From ""Boomerang"")","Attrell Cordes"
"I Wanna Be Down","Brandy"
"I Wanna Be Down","Keith Crouch"
"I Wanna Be Down","Keith Crouch"
"I Wanna Be Down","Kipper Jones"
"Foolish Games/You Were Meant For Me","Jewel"
"Foolish Games/You Were Meant For Me","Ben Keith"
"Foolish Games/You Were Meant For Me","Peter Collin"
"Foolish Games/You Were Meant For Me","Jewel Kilcher"
"Foolish Games/You Were Meant For Me","Steve Poltz"
"Genie In A Bottle","Christina Aguilera"
"Genie In A Bottle","David Frank"
"Genie In A Bottle","Steve Kipner"
"Genie In A Bottle","David Frank"
"Genie In A Bottle","Steve Kipner"
"Genie In A Bottle","Pamela Sheyne"
"Just Like A Pill","P!nk"
"Just Like A Pill","Dallas Austin"
"Just Like A Pill","Pink"
"Just Like A Pill","Dallas Austin"
"Gangsta Lovin'","Eve"
"Gangsta Lovin'","Alicia Keys"
"Gangsta Lovin'","Irv Gotti"
"Gangsta Lovin'","Channel 7"
"Gangsta Lovin'","Alisa Yarbrough"
"Gangsta Lovin'","Jonah Ellis"
"Gangsta Lovin'","Lonnie Simmons"
"Gangsta Lovin'","Eve Jeffers"
"Miss Independent","Kelly Clarkson"
"Miss Independent","Rhett Lawrence"
"Miss Independent","Kelly Clarkson"
"Miss Independent","Rhett Lawrence"
"Miss Independent","Christina Aguilera"
"Miss Independent","Matt Morris"
"Never Leave You - Uh Ooh, Uh Oooh!","Lumidee"
"Never Leave You - Uh Ooh, Uh Oooh!","DJ Tedsmooth"
"Never Leave You - Uh Ooh, Uh Oooh!","Trendsetta"
"Never Leave You - Uh Ooh, Uh Oooh!","Lumidee Cedeño"
"Never Leave You - Uh Ooh, Uh Oooh!","Teddy Mendez"
"Never Leave You - Uh Ooh, Uh Oooh!","Edwin Perez"
"Never Leave You - Uh Ooh, Uh Oooh!","Steven Marsden"
"Never Be The Same","Camila Cabello"
"Never Be The Same","Frank Dukes"
"Never Be The Same","Camila Cabello"
"Never Be The Same","Adam Feeney"
"Never Be The Same","Leo Rami Dawod"
"Never Be The Same","Jacob Ludwig Olofsson"
"Never Be The Same","Noonie Bao"
"Never Be The Same","Sasha Yatchenko"
"Impulsive","Wilson Phillips"
"Impulsive","Glen Ballard"
"Impulsive","Clif Magness"
"Impulsive","Steve Kipner"
"I Got 5 On It","Luniz"
"I Got 5 On It","Tone Capone"
"I Got 5 On It","Anthony Gilmour"
"I Got 5 On It","Claydes Smith"
"I Got 5 On It","Dennis Thomas"
"I Got 5 On It","Denzil Foster"
"I Got 5 On It","Donald Boyce"
"I Got 5 On It","Garrick Husbands"
"I Got 5 On It","George Brown"
"I Got 5 On It","Jay King"
"I Got 5 On It","Jerold Ellis"
"I Got 5 On It","Rick Westfield"
"I Got 5 On It","Robert Bell"
"I Got 5 On It","Robert Mickens"
"I Got 5 On It","Ronald Bell"
"I Got 5 On It","Thomas McElroy"
"I Got 5 On It","Kirk Robinson"
"I Got 5 On It","Nathan Bell"
"I Got 5 On It","Clifford Adams"
"Hey Baby","No Doubt"
"Hey Baby","Bounty Killer"
"Hey Baby","Sly and Robbie"
"Hey Baby","No Doubt"
"Hey Baby","Gwen Stefani"
"Hey Baby","Tony Kanal"
"Hey Baby","Tom Dumont"
"Hey Baby","Rodney Price"
"On Fire","Lil Wayne"
"On Fire","Cool & Dre"
"On Fire","D. Carter"
"On Fire","A. Lyon"
"On Fire","M. Valenzano"
"On Fire","E. Montilla"
"On Fire","G. Moroder"
"On Fire","P. Bellotte"
"Stressed Out","twenty one pilots"
"Stressed Out","Mike Elizondo"
"Stressed Out","Tyler Joseph"
"Set Fire To The Rain","Adele"
"Set Fire To The Rain","Fraser T. Smith"
"Set Fire To The Rain","Adele Adkins"
"Set Fire To The Rain","Fraser T. Smith"
"All Of Me","John Legend"
"All Of Me","Dave Tozer"
"All Of Me","John Legend"
"All Of Me","John Stephens"
"All Of Me","Toby Gad"
"All I Want For Christmas Is You","Mariah Carey"
"All I Want For Christmas Is You","Walter Afanasieff"
"All I Want For Christmas Is You","Mariah Carey"
"All I Want For Christmas Is You","Mariah Carey"
"All I Want For Christmas Is You","Walter Afanasieff"
"Bubbly","Colbie Caillat"
"Bubbly","Mikal Blue"
"Bubbly","Colbie Caillat"
"Bubbly","Jason Reeves"
"The Best Things In Life Are Free","Luther Vandross"
"The Best Things In Life Are Free","Janet Jackson"
"The Best Things In Life Are Free","BBD"
"The Best Things In Life Are Free","Ralph Tresvant"
"The Best Things In Life Are Free","Jimmy Jam and Terry Lewis"
"The Best Things In Life Are Free","Jimmy Jam and Terry Lewis"
"The Best Things In Life Are Free","Michael Bivins"
"The Best Things In Life Are Free","Ronnie DeVoe"
"The Best Things In Life Are Free","Harry Wayne Casey"
"The Best Things In Life Are Free","Richard Finch"
"Livin' It Up","Ja Rule"
"Livin' It Up","Case"
"Livin' It Up","Lil' Rob"
"Livin' It Up","Irv Gotti"
"Livin' It Up","Jeffrey Atkins"
"Livin' It Up","Robert Mays"
"Livin' It Up","Irving Lorenzo"
"Livin' It Up","Stevie Wonder"
"Just Dance","Lady Gaga"
"Just Dance","Colby O'Donis"
"Just Dance","RedOne"
"Just Dance","Stefani Germanotta"
"Just Dance","Nadir ""RedOne"" Khayat"
"Just Dance","Aliaune ""Akon"" Thiam"
"I'm On One","DJ Khaled"
"I'm On One","Drake"
"I'm On One","Rick Ross"
"I'm On One","Lil Wayne"
"I'm On One","T-Minus"
"I'm On One","Noah ""40"" Shebib"
"I'm On One","Kromatik"
"I'm On One","Aubrey Graham"
"I'm On One","William Roberts"
"I'm On One","Dwayne Carter, Jr."
"I'm On One","N. Cobey"
"I'm On One","Khaled Khaled"
"I'm On One","Tyler Williams"
"I'm On One","Nikhil Seetharam"
"I'm On One","Noah Shebib"
"Let Me Blow Ya Mind","Eve"
"Let Me Blow Ya Mind","Gwen Stefani"
"Let Me Blow Ya Mind","Dr. Dre"
"Let Me Blow Ya Mind","Scott Storch"
"Let Me Blow Ya Mind","Eve Jeffers"
"Let Me Blow Ya Mind","Andre Young"
"Let Me Blow Ya Mind","Mike Elizondo"
"Let Me Blow Ya Mind","Scott Storch"
"Let Me Blow Ya Mind","Steven Jordan"
"Hard","Rihanna"
"Hard","Jeezy"
"Hard","Tricky Stewart"
"Hard","The-Dream"
"Hard","Terius Nash"
"Hard","Christopher Stewart"
"Hard","Robyn Fenty"
"Hard","Jay Jenkins"
"Oh Boy","Cam'Ron"
"Oh Boy","Juelz Santana"
"Oh Boy","Just Blaze"
"Oh Boy","Justin Smith, Cameron Giles, LaRon James, Norman Whitfield"
"Ni**as in Paris","Jay Z"
"Ni**as in Paris","Kanye West"
"Ni**as in Paris","Hit-Boy"
"Ni**as in Paris","Kanye West"
"Ni**as in Paris","Mike Dean"
"Ni**as in Paris","Anthony Kilhoffer"
"Ni**as in Paris","Kanye West"
"Ni**as in Paris","Shawn Carter"
"Ni**as in Paris","John Altschuler"
"Ni**as in Paris","Chauncey Hollis"
"Good Girls Go Bad","Cobra Starship"
"Good Girls Go Bad","Leighton Meester"
"Good Girls Go Bad","Kara DioGuardi"
"Good Girls Go Bad","Kevin Rudolf"
"Good Girls Go Bad","Gabe Saporta"
"Good Girls Go Bad","Kara DioGuardi"
"Good Girls Go Bad","Kevin Rudolf"
"Good Girls Go Bad","Jacob Kasher"
"iSpy","KYLE"
"iSpy","Lil Yachty"
"iSpy","Naz"
"iSpy","Chico Jay"
"iSpy","SuperDuperBrick"
"iSpy","Lege Kale"
"iSpy","Kyle Harvey"
"iSpy","Miles McCollum"
"iSpy","Joshua Portillo"
"iSpy","Justin Howze"
"iSpy","Malik Keith"
"Oh","Ciara"
"Oh","Ludacris"
"Oh","Dre & Vidal"
"Oh","Ciara Harris"
"Oh","Christopher Bridges"
"Oh","Andre Harris"
"Oh","Vidal Davis"
"Oh","Doncarlos Price"
"Here We Go","Funkmaster Flex Presents Khadejia"
"Here We Go","Product"
"Live Your Life","T.I."
"Live Your Life","Rihanna"
"Live Your Life","Just Blaze"
"Live Your Life","Canei Finch"
"Live Your Life","Dan Bălan"
"Live Your Life","Clifford Harris"
"Live Your Life","Makeba Riddick"
"Live Your Life","Justin Smith"
"Love Me Harder","Ariana Grande"
"Love Me Harder","The Weeknd"
"Love Me Harder","Ali Payami"
"Love Me Harder","Peter Svensson"
"Love Me Harder","Max Martin"
"Love Me Harder","Savan Kotecha"
"Love Me Harder","Peter Svensson"
"Love Me Harder","Ali Payami"
"Love Me Harder","Abel Tesfaye"
"Love Me Harder","Ahmad Balshe"
"No Limit","Usher"
"No Limit","Young Thug"
"No Limit","B.A.M."
"No Limit","Perry"
"No Limit","Rock City"
"No Limit","WondaGurl (remix)"
"No Limit","Usher Raymond IV"
"No Limit","Brandon Hodge"
"No Limit","Christopher ""Talent"" Perry"
"No Limit","Theron Thomas"
"No Limit","Timothy Thomas"
"No Limit","Keith Thomas"
"No Limit","Jeffrey Lamar Williams"
"No Limit","Kgaugelo Nalane"
"Meet Me Halfway","The Black Eyed Peas"
"Meet Me Halfway","will.i.am"
"Meet Me Halfway","Keith Harris"
"Meet Me Halfway","William Adams"
"Meet Me Halfway","Jean Baptiste"
"Meet Me Halfway","Stacy Ferguson"
"Meet Me Halfway","Jaime Gomez"
"Meet Me Halfway","Sylvia Gordon"
"Meet Me Halfway","Keith Harris"
"Meet Me Halfway","Allan Lindo"
"Gangsta Lean","DRS"
"Gangsta Lean","The Whole 9"
"Gangsta Lean","Taura Stinson, Milton Turner, Tracy Carter and Chris J. Jackson"
"I Don't Ever Want To See You Again","Uncle Sam"
"I Don't Ever Want To See You Again","Nathan Morris"
"I Don't Ever Want To See You Again","Nathan Morris"
"No More","Ruff Endz"
"No More","Eddie F, Darren Lighty"
"No More","Edward Ferrell, Clifton Lighty, Darren Lighty, Balewa Muhammad"
"Hanging By A Moment","Lifehouse"
"Hanging By A Moment","Ron Aniello"
"Hanging By A Moment","Jason Wade"
"It's So Hard To Say Goodbye To Yesterday","Boyz II Men"
"It's So Hard To Say Goodbye To Yesterday","Freddie Perren"
"It's So Hard To Say Goodbye To Yesterday","Freddie Perren"
"It's So Hard To Say Goodbye To Yesterday","Christine Yarian"
"My Lovin' (You're Never Gonna Get It)","En Vogue"
"My Lovin' (You're Never Gonna Get It)","Denzil Foster"
"My Lovin' (You're Never Gonna Get It)","Thomas McElroy"
"My Lovin' (You're Never Gonna Get It)","Denzil Foster"
"My Lovin' (You're Never Gonna Get It)","Thomas McElroy"
"My Lovin' (You're Never Gonna Get It)","James Brown"
"My Lovin' (You're Never Gonna Get It)","Fred Wesley"
"My Lovin' (You're Never Gonna Get It)","John Starks"
"If I Had No Loot","Tony Toni Tone"
"If I Had No Loot","Tony! Toni! Toné!"
"If I Had No Loot","Juan Bautista, Will Harris, Raphael Wiggins, Steve Cropper, Eddie Floyd, Ice Cube, Anthony Wheaton"
"Gin And Juice","Snoop Dogg"
"Gin And Juice","Dr. Dre"
"Gin And Juice","Calvin Broadus"
"Invisible Man","98 Degrees"
"Invisible Man","Dane DeViller, Sean Hosein"
"Invisible Man","Dane DeViller, Sean Hosein, Steve Kipner"
"I Need To Know","Marc Anthony"
"I Need To Know","Marc Anthony"
"I Need To Know","Cory Rooney"
"I Need To Know","Marc Anthony"
"I Need To Know","Cory Rooney"
"Drops Of Jupiter (Tell Me)","Train"
"Drops Of Jupiter (Tell Me)","Brendan O'Brien"
"Drops Of Jupiter (Tell Me)","Train"
"Lips Of An Angel","Jack Ingram"
"Lips Of An Angel","Brian Howes"
"Lips Of An Angel","Austin John Winkler"
"Lips Of An Angel","Cody Hanson"
"Lips Of An Angel","Brian Howes"
"Lips Of An Angel","Joseph Lombardo"
"Hands To Myself","Selena Gomez"
"Hands To Myself","Mattman & Robin"
"Hands To Myself","Max Martin"
"Hands To Myself","Justin Tranter"
"Hands To Myself","Julia Michaels"
"Hands To Myself","Robin Fredriksson"
"Hands To Myself","Mattias Larsson"
"Hands To Myself","Max Martin"
"Hands To Myself","Selena Gomez"
"Most Girls","Hailee Steinfeld"
"Most Girls","Ryan Tedder"
"Most Girls","Zach Skelton"
"Most Girls","Kinetics & One Love"
"Most Girls","Chris O'Ryan (voc.)"
"Most Girls","Hailee Steinfeld"
"Most Girls","Ryan Tedder"
"Most Girls","Zach Skelton"
"Most Girls","Tim Sommers"
"Most Girls","Jeremy Dussolliet"
"Most Girls","Asia Whiteacre"
"Issues","Meek Mill"
"Issues","Cardiak"
"Issues","Dougie"
"Issues","Robert Rihmeek Williams"
"Fortunate","Maxwell"
"Fortunate","R. Kelly"
"Fortunate","Robert Kelly"
"Independent Women Part I","Destiny's Child"
"Independent Women Part I","Beyoncé Knowles"
"Independent Women Part I","Poke and Tone"
"Independent Women Part I","Cory Rooney"
"Independent Women Part I","Beyoncé Knowles"
"Independent Women Part I","Samuel Barnes"
"Independent Women Part I","Cory Rooney"
"Independent Women Part I","Jean-Claude Olivier"
"In The End","Linkin Park"
"In The End","Don Gilmore"
"In The End","Brad Delson"
"In The End","Chester Bennington"
"In The End","Joe Hahn"
"In The End","Mike Shinoda"
"In The End","Rob Bourdon"
"Foolish","Ashanti"
"Foolish","Irv Gotti"
"Foolish","Ashanti Douglas"
"Foolish","Mark DeBarge"
"Foolish","Etterlene Jordan"
"Foolish","Irving Lorenzo"
"Me, Myself And I","Beyonce"
"Me, Myself And I","Beyoncé Knowles"
"Me, Myself And I","Scott Storch"
"Me, Myself And I","Beyoncé Knowles"
"Me, Myself And I","Scott Storch"
"Me, Myself And I","Robert Waller"
"Lonely No More","Rob Thomas"
"Lonely No More","Matt Serletic"
"Lonely No More","Rob Thomas"
"Informer","Snow"
"Informer","MC Shan"
"Informer","Edmond Leary"
"Informer","Darrin O'Brien"
"Informer","Shawn Moltke"
"Informer","Terri Moltke"
"Informer","Jeffrey Silva (associate writer)"
"Hey Mr. D.J.","Zhane"
"Hey Mr. D.J.","Naughty by Nature"
"Hey Mr. D.J.","118th Street Productions"
"Hey Mr. D.J.","A. Bahr"
"Hey Mr. D.J.","V. Brown"
"Hey Mr. D.J.","A. Criss"
"Hey Mr. D.J.","K. Gist"
"Hey Mr. D.J.","R. Neufville"
"Hey Mr. D.J.","J. Norris"
"Nobody Knows","The Tony Rich Project"
"Nobody Knows","Tony Rich"
"Nobody Knows","Joe Rich"
"Nobody Knows","Don DuBose"
"I Belong To You (Every Time I See Your Face)","Rome"
"I Belong To You (Every Time I See Your Face)","Gerald Baillergeau"
"I Belong To You (Every Time I See Your Face)","Victor Merritt"
"I Belong To You (Every Time I See Your Face)","Jerome Woods"
"I Belong To You (Every Time I See Your Face)","Gerald Baillergeau"
"It's Been Awhile","Staind"
"It's Been Awhile","Josh Abraham"
"It's Been Awhile","Aaron Lewis"
"It's Been Awhile","Mike Mushok"
"It's Been Awhile","Johnny April"
"It's Been Awhile","Jon Wysocki"
"Fergalicious","Fergie"
"Fergalicious","will.i.am"
"Fergalicious","will.i.am"
"Fergalicious","Will Adams"
"Fergalicious","Stacy Ferguson"
"Fergalicious","Dania Maria Birks"
"Fergalicious","Juana Michelle Burns"
"Fergalicious","Juanita A. Lee"
"Fergalicious","Kim Nazel"
"Fergalicious","Fatima Shaheed"
"Fergalicious","Derrick Rahming"
"Fergalicious","Oscar Washington"
"Fergalicious","Lewis P. Simpkins"
"Fergalicious","Jimmy Forrest"
"Fergalicious","Ryan Gallagher"
"Hey There Delilah","Plain White T's"
"Hey There Delilah","Ariel Rechtshaid"
"Hey There Delilah","Sean O'Keefe"
"Hey There Delilah","Tom Higgenson"
"I Took A Pill In Ibiza","Mike Posner"
"I Took A Pill In Ibiza","Mike Posner"
"I Took A Pill In Ibiza","SeeB"
"I Took A Pill In Ibiza","Martin Terefe"
"I Took A Pill In Ibiza","Mike Posner"
"If You Asked Me To","Celine Dion"
"If You Asked Me To","Stewart Levine"
"If You Asked Me To","Aaron Zigman"
"If You Asked Me To","Diane Warren"
"Fight Song","Rachel Platten"
"Fight Song","Jon Levine"
"Fight Song","Rachel Platten"
"Fight Song","Dave Bassett"
"Let It Rock","Chuck Berry"
"Let It Rock","Leonard Chess, Phil Chess"
"Let It Rock","Chuck Berry"
"More Than Words","Extreme"
"More Than Words","Michael Wagener"
"More Than Words","Gary Cherone"
"More Than Words","Nuno Bettencourt"
"If You Had My Love","Jennifer Lopez"
"If You Had My Love","Rodney Jerkins"
"If You Had My Love","Rodney Jerkins"
"If You Had My Love","LaShawn Daniels"
"If You Had My Love","Cory Rooney"
"If You Had My Love","Jennifer Lopez"
"If You Had My Love","Fred Jerkins III"
"My Love Is Your Love","Whitney Houston"
"My Love Is Your Love","Wyclef Jean"
"My Love Is Your Love","Jerry Duplessis"
"My Love Is Your Love","Wyclef Jean"
"My Love Is Your Love","Jerry Duplessis"
"Kryptonite","3 Doors Down"
"Kryptonite","Paul Ebersold"
"Kryptonite","Brad Arnold"
"Nothin'","N.O.R.E."
"Nothin'","The Neptunes"
"Nothin'","Victor Santiago"
"Nothin'","Pharrell Williams"
"Nothin'","Chad Hugo"
"Nothin'","Greg Camp"
"Grenade","Bruno Mars"
"Grenade","The Smeezingtons"
"Grenade","Bruno Mars"
"Grenade","Philip Lawrence"
"Grenade","Ari Levine"
"Grenade","Brody Brown"
"Grenade","Claude Kelly"
"Grenade","Andrew Wyatt"
"I Cry","Flo Rida"
"I Cry","soFLY & Nius"
"I Cry","The Futuristics"
"I Cry","Calvin Harris"
"I Cry","Alex Schwartz"
"I Cry","Joe Khajadourian"
"I Cry","Brenda Russell"
"I Cry","Jeff Hull"
"I Cry","Maarten Hoogstraten"
"I Cry","Paul Bäumer"
"I Cry","Calvin Harris"
"I Cry","Pierre-Antoine Melki"
"I Cry","Raphaël Judrin"
"I Cry","Scott Cutler"
"I Cry","Tramar Dillard"
"It's Goin' Down","Descendants 2 Cast"
"It's Goin' Down","Armato"
"It's Goin' Down","James"
"It's Goin' Down","Antonina Armato"
"It's Goin' Down","Tim James"
"It's Goin' Down","Tom Sturges"
"It's Goin' Down","Adam Schmalholz"
"Gucci Gang","Lil Pump"
"Gucci Gang","Bighead"
"Gucci Gang","Gnealz"
"Gucci Gang","Gazzy Garcia"
"Gucci Gang","Brenden Murray"
"Gucci Gang","Gerrell Nealy"
"Fireflies","Fleetwood Mac"
"Fireflies","Richard Dashut"
"Fireflies","Ken Caillat"
"Fireflies","Fleetwood Mac"
"Fireflies","Stevie Nicks"
"Hate It Or Love It","The Game"
"Hate It Or Love It","50 Cent"
"Hate It Or Love It","Cool & Dre"
